,act_fun,batch_size,dropout_frac,lr,n_epochs,neuron_layers,optimizer,patience,tol,weight_decay,F1,Acc
160,<function selu at 0x7f5bf5c0bba0>,256,0.8,0.0001,300,"[5000, 2500, 1000, 250, 50]",<class 'torch.optim.adamw.AdamW'>,50,0.0,0.0001,0.4857142857142857,0.7777777777777778
83,<function selu at 0x7f5bf5c0bba0>,256,0.75,0.0001,250,"[5000, 2500, 1000, 250, 50]",<class 'torch.optim.adamw.AdamW'>,50,1e-05,0.0001,0.48484848484848486,0.7901234567901234
82,<function selu at 0x7f5bf5c0bba0>,256,0.75,0.0001,250,"[5000, 2500, 1000, 250, 50]",<class 'torch.optim.adamw.AdamW'>,50,0.0,0.0001,0.48484848484848486,0.7901234567901234
290,<function selu at 0x7f5bf5c0bba0>,128,0.75,0.0001,200,"[5000, 2500, 1000, 250, 125]",<class 'torch.optim.adamw.AdamW'>,50,0.0,0.0001,0.4827586206896552,0.8148148148148148
150,<function selu at 0x7f5bf5c0bba0>,256,0.8,0.0001,250,"[5000, 2500, 1000, 250]",<class 'torch.optim.adamw.AdamW'>,50,0.0,0.0001,0.4827586206896552,0.8148148148148148
151,<function selu at 0x7f5bf5c0bba0>,256,0.8,0.0001,250,"[5000, 2500, 1000, 250]",<class 'torch.optim.adamw.AdamW'>,50,1e-05,0.0001,0.4827586206896552,0.8148148148148148
291,<function selu at 0x7f5bf5c0bba0>,128,0.75,0.0001,200,"[5000, 2500, 1000, 250, 125]",<class 'torch.optim.adamw.AdamW'>,50,1e-05,0.0001,0.4827586206896552,0.8148148148148148
152,<function selu at 0x7f5bf5c0bba0>,256,0.8,0.0001,250,"[5000, 2500, 1000, 250, 125]",<class 'torch.optim.adamw.AdamW'>,50,0.0,0.0001,0.48,0.7592592592592593
153,<function selu at 0x7f5bf5c0bba0>,256,0.8,0.0001,250,"[5000, 2500, 1000, 250, 125]",<class 'torch.optim.adamw.AdamW'>,50,1e-05,0.0001,0.48,0.7592592592592593
148,<function selu at 0x7f5bf5c0bba0>,256,0.8,0.0001,200,"[5000, 2500, 1000, 250, 50]",<class 'torch.optim.adamw.AdamW'>,50,0.0,0.0001,0.475,0.7407407407407407
149,<function selu at 0x7f5bf5c0bba0>,256,0.8,0.0001,200,"[5000, 2500, 1000, 250, 50]",<class 'torch.optim.adamw.AdamW'>,50,1e-05,0.0001,0.475,0.7407407407407407
595,<function selu at 0x7f5bf5c0bba0>,64,0.8,0.0001,350,"[5000, 2500, 1000, 250]",<class 'torch.optim.adamw.AdamW'>,50,1e-05,0.0001,0.4745762711864407,0.808641975308642
588,<function selu at 0x7f5bf5c0bba0>,64,0.8,0.0001,300,"[5000, 2500, 1000, 250]",<class 'torch.optim.adamw.AdamW'>,50,0.0,0.0001,0.4745762711864407,0.808641975308642
