,act_fun,batch_size,dropout_frac,n_epochs,neuron_layers,optimizer,patience,tol,weight_decay,F1,Acc
5,<function selu at 0x7f99fa88b240>,256,0.5,250,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.rmsprop.RMSprop'>,75,1e-05,0.0001,0.9724182168056447,0.9473684210526315
37,<function selu at 0x7f99fa88b240>,64,0.5,150,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.rmsprop.RMSprop'>,75,1e-05,0.0001,0.9717223650385605,0.9461444308445532
47,<function selu at 0x7f99fa88b240>,64,0.55,250,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.rmsprop.RMSprop'>,75,1e-05,0.0001,0.9703989703989704,0.9436964504283966
21,<function selu at 0x7f99fa88b240>,128,0.5,200,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.rmsprop.RMSprop'>,75,1e-05,0.0001,0.9690721649484536,0.9412484700122399
38,<function selu at 0x7f99fa88b240>,64,0.5,200,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9680781758957655,0.9400244798041616
22,<function selu at 0x7f99fa88b240>,128,0.5,250,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9677002583979328,0.9388004895960832
23,<function selu at 0x7f99fa88b240>,128,0.5,250,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.rmsprop.RMSprop'>,75,1e-05,0.0001,0.962671905697446,0.9302325581395349
40,<function selu at 0x7f99fa88b240>,64,0.5,250,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9612606697307945,0.9277845777233782
39,<function selu at 0x7f99fa88b240>,64,0.5,200,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.rmsprop.RMSprop'>,75,1e-05,0.0001,0.9599474720945502,0.9253365973072215
41,<function selu at 0x7f99fa88b240>,64,0.5,250,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.rmsprop.RMSprop'>,75,1e-05,0.0001,0.9507978723404256,0.9094247246022031
