,act_fun,batch_size,dropout_frac,lr,n_epochs,neuron_layers,optimizer,patience,tol,weight_decay,F1,Acc,MCC
45,<function selu at 0x7f91431e4ae0>,256,0.15,1e-05,300,"[4096, 2048, 1024, 512, 256]",<class 'torch.optim.adamw.AdamW'>,75,0.0,0.0001,0.9667318982387475,0.9369592088998764,0.3887735044735768
46,<function selu at 0x7f91431e4ae0>,256,0.15,1e-05,300,"[4096, 2048, 1024, 512, 256, 128]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9674054758800521,0.9381953028430161,0.3930687210718959
47,<function selu at 0x7f91431e4ae0>,256,0.15,1e-05,300,"[4096, 2048, 1024, 512, 256, 128]",<class 'torch.optim.adamw.AdamW'>,75,0.0,0.0001,0.9674054758800521,0.9381953028430161,0.3930687210718959
48,<function selu at 0x7f91431e4ae0>,256,0.3,0.001,300,"[5000, 2500]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9811083123425692,0.9629171817058096,0.0
49,<function selu at 0x7f91431e4ae0>,256,0.3,0.001,300,"[5000, 2500]",<class 'torch.optim.adamw.AdamW'>,75,0.0,0.0001,0.9811083123425692,0.9629171817058096,0.0
50,<function selu at 0x7f91431e4ae0>,256,0.3,0.001,300,"[8192, 4096, 2048, 1024, 512, 256]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9811083123425692,0.9629171817058096,0.0
51,<function selu at 0x7f91431e4ae0>,256,0.3,0.001,300,"[8192, 4096, 2048, 1024, 512, 256]",<class 'torch.optim.adamw.AdamW'>,75,0.0,0.0001,0.9811083123425692,0.9629171817058096,0.0
52,<function selu at 0x7f91431e4ae0>,256,0.3,0.001,300,"[4096, 2048, 1024, 512, 256]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9781491002570694,0.957972805933251,0.43002761922540195
53,<function selu at 0x7f91431e4ae0>,256,0.3,0.001,300,"[4096, 2048, 1024, 512, 256]",<class 'torch.optim.adamw.AdamW'>,75,0.0,0.0001,0.9781491002570694,0.957972805933251,0.43002761922540195
54,<function selu at 0x7f91431e4ae0>,256,0.3,0.001,300,"[4096, 2048, 1024, 512, 256, 128]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8776671408250356,0.7873918417799752,0.2075849982645099
55,<function selu at 0x7f91431e4ae0>,256,0.3,0.001,300,"[4096, 2048, 1024, 512, 256, 128]",<class 'torch.optim.adamw.AdamW'>,75,0.0,0.0001,0.8776671408250356,0.7873918417799752,0.2075849982645099
56,<function selu at 0x7f91431e4ae0>,256,0.3,0.0001,300,"[5000, 2500]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9475083056478405,0.9023485784919654,0.30013550318158716
57,<function selu at 0x7f91431e4ae0>,256,0.3,0.0001,300,"[5000, 2500]",<class 'torch.optim.adamw.AdamW'>,75,0.0,0.0001,0.9475083056478405,0.9023485784919654,0.30013550318158716
58,<function selu at 0x7f91431e4ae0>,256,0.3,0.0001,300,"[8192, 4096, 2048, 1024, 512, 256]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9682024659312135,0.9394313967861557,0.34275259162137706
59,<function selu at 0x7f91431e4ae0>,256,0.3,0.0001,300,"[8192, 4096, 2048, 1024, 512, 256]",<class 'torch.optim.adamw.AdamW'>,75,0.0,0.0001,0.9682024659312135,0.9394313967861557,0.34275259162137706
60,<function selu at 0x7f91431e4ae0>,256,0.3,0.0001,300,"[4096, 2048, 1024, 512, 256]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9539473684210527,0.9134734239802225,0.27060496631941383
61,<function selu at 0x7f91431e4ae0>,256,0.3,0.0001,300,"[4096, 2048, 1024, 512, 256]",<class 'torch.optim.adamw.AdamW'>,75,0.0,0.0001,0.9539473684210527,0.9134734239802225,0.27060496631941383
62,<function selu at 0x7f91431e4ae0>,256,0.3,0.0001,300,"[4096, 2048, 1024, 512, 256, 128]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9564643799472295,0.9184177997527813,0.3521781264039256
63,<function selu at 0x7f91431e4ae0>,256,0.3,0.0001,300,"[4096, 2048, 1024, 512, 256, 128]",<class 'torch.optim.adamw.AdamW'>,75,0.0,0.0001,0.9564643799472295,0.9184177997527813,0.3521781264039256
64,<function selu at 0x7f91431e4ae0>,256,0.3,1e-05,300,"[5000, 2500]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9523809523809523,0.9110012360939431,0.3179719819834787
65,<function selu at 0x7f91431e4ae0>,256,0.3,1e-05,300,"[5000, 2500]",<class 'torch.optim.adamw.AdamW'>,75,0.0,0.0001,0.9523809523809523,0.9110012360939431,0.3179719819834787
66,<function selu at 0x7f91431e4ae0>,256,0.3,1e-05,300,"[8192, 4096, 2048, 1024, 512, 256]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9721322099805574,0.9468479604449939,0.40902608341777574
67,<function selu at 0x7f91431e4ae0>,256,0.3,1e-05,300,"[8192, 4096, 2048, 1024, 512, 256]",<class 'torch.optim.adamw.AdamW'>,75,0.0,0.0001,0.9721322099805574,0.9468479604449939,0.40902608341777574
68,<function selu at 0x7f91431e4ae0>,256,0.3,1e-05,300,"[4096, 2048, 1024, 512, 256]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9660574412532638,0.9357231149567367,0.3845867723434868
69,<function selu at 0x7f91431e4ae0>,256,0.3,1e-05,300,"[4096, 2048, 1024, 512, 256]",<class 'torch.optim.adamw.AdamW'>,75,0.0,0.0001,0.9660574412532638,0.9357231149567367,0.3845867723434868
70,<function selu at 0x7f91431e4ae0>,256,0.3,1e-05,300,"[4096, 2048, 1024, 512, 256, 128]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9647058823529412,0.9332509270704573,0.37652009153306376
71,<function selu at 0x7f91431e4ae0>,256,0.3,1e-05,300,"[4096, 2048, 1024, 512, 256, 128]",<class 'torch.optim.adamw.AdamW'>,75,0.0,0.0001,0.9647058823529412,0.9332509270704573,0.37652009153306376
72,<function selu at 0x7f91431e4ae0>,256,0.45,0.001,300,"[5000, 2500]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9724535554131967,0.9468479604449939,0.21847194570424947
73,<function selu at 0x7f91431e4ae0>,256,0.45,0.001,300,"[5000, 2500]",<class 'torch.optim.adamw.AdamW'>,75,0.0,0.0001,0.9724535554131967,0.9468479604449939,0.21847194570424947
74,<function selu at 0x7f91431e4ae0>,256,0.45,0.001,300,"[8192, 4096, 2048, 1024, 512, 256]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9811083123425692,0.9629171817058096,0.0
75,<function selu at 0x7f91431e4ae0>,256,0.45,0.001,300,"[8192, 4096, 2048, 1024, 512, 256]",<class 'torch.optim.adamw.AdamW'>,75,0.0,0.0001,0.9811083123425692,0.9629171817058096,0.0
76,<function selu at 0x7f91431e4ae0>,256,0.45,0.001,300,"[4096, 2048, 1024, 512, 256]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9592105263157895,0.92336217552534,0.36490581394052335
77,<function selu at 0x7f91431e4ae0>,256,0.45,0.001,300,"[4096, 2048, 1024, 512, 256]",<class 'torch.optim.adamw.AdamW'>,75,0.0,0.0001,0.9592105263157895,0.92336217552534,0.36490581394052335
78,<function selu at 0x7f91431e4ae0>,256,0.45,0.001,300,"[4096, 2048, 1024, 512, 256, 128]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9768637532133676,0.9555006180469716,0.39646671396268246
79,<function selu at 0x7f91431e4ae0>,256,0.45,0.001,300,"[4096, 2048, 1024, 512, 256, 128]",<class 'torch.optim.adamw.AdamW'>,75,0.0,0.0001,0.9768637532133676,0.9555006180469716,0.39646671396268246
80,<function selu at 0x7f91431e4ae0>,256,0.45,0.0001,300,"[5000, 2500]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9439252336448598,0.896168108776267,0.30503021692601845
81,<function selu at 0x7f91431e4ae0>,256,0.45,0.0001,300,"[5000, 2500]",<class 'torch.optim.adamw.AdamW'>,75,0.0,0.0001,0.9439252336448598,0.896168108776267,0.30503021692601845
82,<function selu at 0x7f91431e4ae0>,256,0.45,0.0001,300,"[8192, 4096, 2048, 1024, 512, 256]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.964122635355512,0.9320148331273177,0.33679998301292674
83,<function selu at 0x7f91431e4ae0>,256,0.45,0.0001,300,"[8192, 4096, 2048, 1024, 512, 256]",<class 'torch.optim.adamw.AdamW'>,75,0.0,0.0001,0.964122635355512,0.9320148331273177,0.33679998301292674
84,<function selu at 0x7f91431e4ae0>,256,0.45,0.0001,300,"[4096, 2048, 1024, 512, 256]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9625738673670388,0.9295426452410384,0.3992200769961277
85,<function selu at 0x7f91431e4ae0>,256,0.45,0.0001,300,"[4096, 2048, 1024, 512, 256]",<class 'torch.optim.adamw.AdamW'>,75,0.0,0.0001,0.9625738673670388,0.9295426452410384,0.3992200769961277
86,<function selu at 0x7f91431e4ae0>,256,0.45,0.0001,300,"[4096, 2048, 1024, 512, 256, 128]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9560078791858174,0.9171817058096415,0.27889780507530687
87,<function selu at 0x7f91431e4ae0>,256,0.45,0.0001,300,"[4096, 2048, 1024, 512, 256, 128]",<class 'torch.optim.adamw.AdamW'>,75,0.0,0.0001,0.9560078791858174,0.9171817058096415,0.27889780507530687
88,<function selu at 0x7f91431e4ae0>,256,0.45,1e-05,300,"[5000, 2500]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9523809523809523,0.9110012360939431,0.3179719819834787
89,<function selu at 0x7f91431e4ae0>,256,0.45,1e-05,300,"[5000, 2500]",<class 'torch.optim.adamw.AdamW'>,75,0.0,0.0001,0.9523809523809523,0.9110012360939431,0.3179719819834787
90,<function selu at 0x7f91431e4ae0>,256,0.45,1e-05,300,"[8192, 4096, 2048, 1024, 512, 256]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9715394566623544,0.9456118665018541,0.36686412310418554
91,<function selu at 0x7f91431e4ae0>,256,0.45,1e-05,300,"[8192, 4096, 2048, 1024, 512, 256]",<class 'torch.optim.adamw.AdamW'>,75,0.0,0.0001,0.9715394566623544,0.9456118665018541,0.36686412310418554
92,<function selu at 0x7f91431e4ae0>,256,0.45,1e-05,300,"[4096, 2048, 1024, 512, 256]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9653821032005225,0.934487021013597,0.3805037857207209
93,<function selu at 0x7f91431e4ae0>,256,0.45,1e-05,300,"[4096, 2048, 1024, 512, 256]",<class 'torch.optim.adamw.AdamW'>,75,0.0,0.0001,0.9653821032005225,0.934487021013597,0.3805037857207209
94,<function selu at 0x7f91431e4ae0>,256,0.45,1e-05,300,"[4096, 2048, 1024, 512, 256, 128]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9661016949152542,0.9357231149567367,0.36685982011193846
95,<function selu at 0x7f91431e4ae0>,256,0.45,1e-05,300,"[4096, 2048, 1024, 512, 256, 128]",<class 'torch.optim.adamw.AdamW'>,75,0.0,0.0001,0.9661016949152542,0.9357231149567367,0.36685982011193846
96,<function selu at 0x7f91431e4ae0>,256,0.7,0.001,300,"[5000, 2500]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9605781865965834,0.9258343634116193,0.3716669553579175
97,<function selu at 0x7f91431e4ae0>,256,0.7,0.001,300,"[5000, 2500]",<class 'torch.optim.adamw.AdamW'>,75,0.0,0.0001,0.9605781865965834,0.9258343634116193,0.3716669553579175
98,<function selu at 0x7f91431e4ae0>,256,0.7,0.001,300,"[8192, 4096, 2048, 1024, 512, 256]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9811083123425692,0.9629171817058096,0.0
99,<function selu at 0x7f91431e4ae0>,256,0.7,0.001,300,"[8192, 4096, 2048, 1024, 512, 256]",<class 'torch.optim.adamw.AdamW'>,75,0.0,0.0001,0.9811083123425692,0.9629171817058096,0.0
100,<function selu at 0x7f91431e4ae0>,256,0.7,0.001,300,"[4096, 2048, 1024, 512, 256]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8736616702355461,0.7812113720642769,0.20273542204641423
101,<function selu at 0x7f91431e4ae0>,256,0.7,0.001,300,"[4096, 2048, 1024, 512, 256]",<class 'torch.optim.adamw.AdamW'>,75,0.0,0.0001,0.8736616702355461,0.7812113720642769,0.20273542204641423
102,<function selu at 0x7f91431e4ae0>,256,0.7,0.001,300,"[4096, 2048, 1024, 512, 256, 128]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8684399712437095,0.7737948084054388,0.22396008108862417
103,<function selu at 0x7f91431e4ae0>,256,0.7,0.001,300,"[4096, 2048, 1024, 512, 256, 128]",<class 'torch.optim.adamw.AdamW'>,75,0.0,0.0001,0.8684399712437095,0.7737948084054388,0.22396008108862417
104,<function selu at 0x7f91431e4ae0>,256,0.7,0.0001,300,"[5000, 2500]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9516876240900066,0.9097651421508035,0.31528959498000053
105,<function selu at 0x7f91431e4ae0>,256,0.7,0.0001,300,"[5000, 2500]",<class 'torch.optim.adamw.AdamW'>,75,0.0,0.0001,0.9516876240900066,0.9097651421508035,0.31528959498000053
106,<function selu at 0x7f91431e4ae0>,256,0.7,0.0001,300,"[8192, 4096, 2048, 1024, 512, 256]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9661898569570871,0.9357231149567367,0.3299449711723647
107,<function selu at 0x7f91431e4ae0>,256,0.7,0.0001,300,"[8192, 4096, 2048, 1024, 512, 256]",<class 'torch.optim.adamw.AdamW'>,75,0.0,0.0001,0.9661898569570871,0.9357231149567367,0.3299449711723647
